"Date","Price","Open","High","Low","Vol.","Change %"
"2025-02-01","15.4500","15.3500","15.9500","15.2500","","1.31%"
"2025-01-01","15.2500","14.7000","15.4250","14.6250","","4.10%"
"2024-12-01","14.6500","15.3700","15.7350","14.5500","","-3.62%"
"2024-11-01","15.2000","16.3000","16.4925","15.2000","","-6.46%"
"2024-10-01","16.2500","15.8000","16.5250","15.6700","","3.17%"
"2024-09-01","15.7500","15.6500","15.8900","15.5350","","1.09%"
"2024-08-01","15.5800","15.5500","16.1475","15.4000","","0.52%"
"2024-07-01","15.5000","15.2500","15.8200","15.1750","","1.64%"
"2024-06-01","15.2500","14.7500","15.4500","14.6500","","3.04%"
"2024-05-01","14.8000","13.6700","14.9097","13.5400","","8.66%"
"2024-04-01","13.6200","13.2500","14.1500","13.1500","","3.18%"
"2024-03-01","13.2000","12.6500","13.3900","12.5250","","4.76%"
"2024-02-01","12.6000","12.3400","12.8300","12.2250","","2.44%"
"2024-01-01","12.3000","11.9500","12.4450","11.8300","","3.36%"
"2023-12-01","11.9000","12.0000","12.1505","11.8500","","-0.42%"
"2023-11-01","11.9500","11.8750","12.1350","11.7500","","0.59%"
"2023-10-01","11.8800","11.5050","11.9750","11.4250","","2.86%"
"2023-09-01","11.5500","11.3500","11.8000","11.2750","","1.76%"
"2023-08-01","11.3500","11.3200","11.6250","11.0500","","0.27%"
"2023-07-01","11.3200","11.3000","11.8350","10.9300","","-0.04%"
"2023-06-01","11.3250","11.2500","11.6000","10.8100","","0.67%"
"2023-05-01","11.2500","11.7500","12.2750","10.4000","","-4.66%"
"2023-04-01","11.8000","11.7500","12.4500","10.5500","","2.16%"
"2023-03-01","11.5500","12.8500","12.9500","11.4500","","-10.12%"
"2023-02-01","12.8500","12.3000","12.9500","11.9000","","2.80%"
"2023-01-01","12.5000","10.3000","12.5000","9.7500","","25.25%"
"2022-12-01","9.9800","14.4000","14.4000","8.2500","","-30.69%"
"2022-11-01","14.4000","14.0000","14.7750","13.1250","","2.86%"
"2022-10-01","14.0000","10.4500","14.0500","10.1300","","34.94%"
"2022-09-01","10.3750","9.9250","10.4500","9.6750","","2.72%"
"2022-08-01","10.1000","8.4500","10.1100","8.2500","","19.53%"
"2022-07-01","8.4500","8.0250","8.5750","7.8250","","5.30%"
"2022-06-01","8.0250","7.7750","8.0850","7.6000","","2.88%"
"2022-05-01","7.8000","7.5250","7.8500","7.2500","","3.65%"
"2022-04-01","7.5250","7.5750","7.6925","7.2750","","0.00%"
"2022-03-01","7.5250","6.7850","7.6750","6.6250","","11.90%"
"2022-02-01","6.7250","6.2000","6.8600","6.0500","","7.17%"
"2022-01-01","6.2750","6.1500","6.3863","5.9975","","2.03%"
"2021-12-01","6.1500","6.1500","6.2800","6.0375","","0.24%"
"2021-11-01","6.1350","6.1000","6.2350","5.9600","","0.41%"
"2021-10-01","6.1100","6.0100","6.2700","5.9350","","0.99%"
"2021-09-01","6.0500","6.0400","6.1175","5.8050","","0.17%"
"2021-08-01","6.0400","5.9800","6.0950","5.7700","","1.00%"
"2021-07-01","5.9800","5.8900","6.0200","5.7800","","2.22%"
"2021-06-01","5.8500","5.7800","5.9350","5.7450","","1.21%"
"2021-05-01","5.7800","5.7800","5.8250","5.7200","","0.35%"
"2021-04-01","5.7600","5.7800","5.8300","5.6625","","0.17%"
"2021-03-01","5.7500","5.7500","5.8800","5.6925","","0.35%"
"2021-02-01","5.7300","5.8250","5.8700","5.7275","","-1.46%"
"2021-01-01","5.8150","5.8800","5.9050","5.7700","","-0.43%"
"2020-12-01","5.8400","5.8600","5.9900","5.7675","","-0.51%"
"2020-11-01","5.8700","5.8550","5.9700","5.7750","","0.73%"
"2020-10-01","5.8275","5.8350","5.8840","5.7650","","0.65%"
"2020-09-01","5.7900","5.7800","5.8600","5.6850","","0.17%"
"2020-08-01","5.7800","5.7750","5.8375","5.6850","","0.35%"
"2020-07-01","5.7600","5.7850","5.8500","5.6650","","-0.43%"
